lens_id,survey,ra_deg,dec_deg,z_lens,z_source,einstein_radius_arcsec,lens_mass_Msun,velocity_dispersion_km_s,lens_type,reference
HSC-0044,HSC-SSP,30.698158072074776,3.77362179106723,0.1704022315344385,1.2560841571955996,0.8123102921880972,115128618391.22328,238.10069559712355,candidate,HSC-SSP-simulated
HSC-0045,HSC-SSP,54.10442791154546,-2.615585129144322,0.3803126525866476,1.7950828170623456,1.2009478015095356,51222372325.53496,130.6164194034109,candidate,HSC-SSP-simulated
HSC-0046,HSC-SSP,53.29238882225991,-1.9103575169637859,0.08030205924372619,0.7808723376905604,1.3904578141273376,138496027682.666,199.6042323614352,candidate,HSC-SSP-simulated
HSC-0047,HSC-SSP,57.076587200386996,0.06302846937428619,0.3041624784920318,1.6597538437204395,0.9111205831516134,97081645573.30348,206.44797688557287,candidate,HSC-SSP-simulated
HSC-0048,HSC-SSP,58.50185901152415,5.407285763250673,0.14907726722426187,0.5579746084827614,1.873327352666544,367818001956.65356,280.2461460889287,candidate,HSC-SSP-simulated
HSC-0049,HSC-SSP,52.5712358831304,3.4989485247101832,0.082493292820953,0.907946339167048,0.7640085403223118,25479770778.55588,115.49911256848603,candidate,HSC-SSP-simulated
HSC-0050,HSC-SSP,56.63112548274899,-1.7890198493750553,0.773444317292302,1.9027524761534593,0.844409792704412,83040746556.87643,198.33482965487198,candidate,HSC-SSP-simulated
HSC-0051,HSC-SSP,54.65580177871068,2.474906725877954,0.2915837252157312,0.4961164627626855,0.6555772509432501,57182711763.4959,186.78862783477888,candidate,HSC-SSP-simulated
HSC-0052,HSC-SSP,32.50502150096006,3.325762991129242,0.6167070385070205,2.135303494950164,0.9531513639901974,100026960442.2007,204.8837878961846,candidate,HSC-SSP-simulated
HSC-0053,HSC-SSP,44.05981925982379,-5.324360691817952,0.24911745252707412,1.3086047173964,0.7802278527351506,116733697675.17348,244.63432419002027,candidate,HSC-SSP-simulated
HSC-0054,HSC-SSP,41.24611738571112,-2.571454964617671,0.2676081249304484,1.2541235290467503,1.003784864813531,149013393416.51407,243.68136938637824,candidate,HSC-SSP-simulated
HSC-0055,HSC-SSP,45.692935325104465,1.5527836576231504,0.26067333432743384,3.0,0.7943713206001566,91333363201.09308,214.4534032185245,candidate,HSC-SSP-simulated
HSC-0056,HSC-SSP,48.6039779340461,-2.671425804226408,0.49072508045344254,0.5907250804534425,0.8540833362665511,33024353910.938683,124.36467414678904,candidate,HSC-SSP-simulated
HSC-0057,HSC-SSP,54.41385059120846,2.216774070646551,0.3269676710361511,0.5655876433611207,1.732278561973535,202651049058.816,216.3194442104047,candidate,HSC-SSP-simulated
HSC-0058,HSC-SSP,54.31659992345499,5.847313551779333,0.19923380932903337,2.247580204868192,0.9662217139329679,191945817904.86737,281.8908155986731,candidate,HSC-SSP-simulated
HSC-0059,HSC-SSP,42.44458507012995,-2.719115136831525,0.2510168135238525,1.1150453398627498,0.8736987508146141,137766028243.26392,251.14249661737495,candidate,HSC-SSP-simulated
HSC-0060,HSC-SSP,43.516324059302804,-4.45008701818206,0.27402619208494644,1.4854891644955626,0.6311357838614281,127158137648.35306,283.88384109492546,candidate,HSC-SSP-simulated
HSC-0061,HSC-SSP,33.40672776598887,2.0588783471135947,0.6867436738967436,1.5969969683123277,1.8556302160369165,439415796932.1729,307.7670421221602,candidate,HSC-SSP-simulated
HSC-0062,HSC-SSP,56.29960807975035,-1.1582056054512355,0.3969587762299494,2.462706092248079,1.3737268103604556,59896696343.967735,132.06302567884427,candidate,HSC-SSP-simulated
HSC-0063,HSC-SSP,41.76732135299197,-0.7503009357152512,0.20137444784189196,1.5889898346217604,1.6300075776475416,92908264043.0917,150.99492708925544,candidate,HSC-SSP-simulated
HSC-0064,HSC-SSP,55.87091126240236,5.394247483891705,0.05,0.8479892471284486,0.5378193101284877,62466657514.40749,215.54399802436058,candidate,HSC-SSP-simulated
HSC-0065,HSC-SSP,49.00202562950177,-3.118252574661683,0.3279231775456404,0.6898860753071361,0.9813719580187327,175895891756.5586,267.7571160250619,candidate,HSC-SSP-simulated
HSC-0066,HSC-SSP,50.02673215563081,-3.932161545580442,0.16073311155016282,0.5798940104005256,0.9684009160408525,68524013889.05828,168.2378838790313,candidate,HSC-SSP-simulated
HSC-0067,HSC-SSP,36.19001155217377,-1.6287616674230945,0.8,1.6563037402823078,0.8106509983876566,107861222380.50215,230.6989955367111,candidate,HSC-SSP-simulated
HSC-0068,HSC-SSP,56.20735872320331,5.050468806381758,0.2288725471207519,0.9275537772180306,0.8528681254828331,77954098290.38586,191.209087967766,candidate,HSC-SSP-simulated
HSC-0069,HSC-SSP,41.11416308374146,-0.18572417770774408,0.05640527831132326,2.120075619697729,1.1888269788564976,164919116300.14,235.5625077271768,candidate,HSC-SSP-simulated
HSC-0070,HSC-SSP,45.35032326346998,0.3853618231837874,0.22603800315015712,0.5822339409805931,0.7969963151640032,44168404898.45409,148.8873145201163,candidate,HSC-SSP-simulated
HSC-0071,HSC-SSP,30.60213593333179,-2.1350500130018606,0.14453132090919502,0.4565384977687446,1.658879692543476,289222756033.552,264.08198784747253,candidate,HSC-SSP-simulated
HSC-0072,HSC-SSP,53.67513715822015,-0.018693612851312658,0.26528359403527085,0.6571306807931538,0.7325865073461595,81139671901.94437,210.4830660958196,candidate,HSC-SSP-simulated
HSC-0073,HSC-SSP,38.51327717396173,-1.6430124432163788,0.4756626491475555,0.6929827466457971,1.183990805737402,114983988875.93771,197.09450485843118,candidate,HSC-SSP-simulated
HSC-0074,HSC-SSP,34.82044119778667,-3.761195711384331,0.1473147185245716,1.0123626580711211,0.7793577975322143,111772214133.21176,239.51266344915712,candidate,HSC-SSP-simulated
HSC-0075,HSC-SSP,55.96521377681941,3.8048648513913594,0.23391531650292943,1.4342119088869816,0.7458232975135172,193524266477.82278,322.16602448411527,candidate,HSC-SSP-simulated
HSC-0076,HSC-SSP,38.399372809808526,3.2339151983032437,0.7130762480960657,1.1444438073324277,0.5818953664186678,56496519361.82145,197.06903615285006,candidate,HSC-SSP-simulated
HSC-0077,HSC-SSP,48.31860127324897,-2.5364333611169307,0.19518420288617908,0.986586827308217,0.6953744093890177,78554774461.4191,212.57242974964754,candidate,HSC-SSP-simulated
HSC-0078,HSC-SSP,34.03244030816923,-5.239500354326787,0.17910576089884914,1.8453860689468344,0.8410807887861862,159383023285.80344,275.31645524142215,candidate,HSC-SSP-simulated
HSC-0079,HSC-SSP,47.86916221823533,-0.34108573739809955,0.4311755275700297,1.6952659471496105,0.9409045155372043,122802304169.92331,228.4864642195187,candidate,HSC-SSP-simulated
HSC-0080,HSC-SSP,35.43699198496981,-5.20204479159867,0.267713695808324,2.104976675483384,1.0793146463527739,97689497671.0339,190.27419736378752,candidate,HSC-SSP-simulated
HSC-0081,HSC-SSP,34.90967828597113,-4.028810424828085,0.38211217018586924,1.4168383115899916,1.8638052656603277,198672562596.5277,206.48983406612308,candidate,HSC-SSP-simulated
HSC-0082,HSC-SSP,54.497983184147316,-0.7303810971573785,0.48206598248222093,0.5971986737622501,0.8999158273372675,44720074819.55752,140.98740316282365,candidate,HSC-SSP-simulated
HSC-0083,HSC-SSP,56.987237198237054,-1.3933053435214635,0.25312163456890324,1.2479835051107682,1.260186288645263,164147138120.2736,228.25971900602883,candidate,HSC-SSP-simulated
HSC-0084,HSC-SSP,40.047168439712586,-4.328735128039353,0.3771510522831798,1.689313299362211,1.9762633353842955,189084894979.74814,195.6302488039426,candidate,HSC-SSP-simulated
HSC-0085,HSC-SSP,39.35166203386645,-3.018130322226411,0.33663644658965425,1.217024466286686,0.8664964783752059,88937954415.01323,202.62366331135226,candidate,HSC-SSP-simulated
HSC-0086,HSC-SSP,54.637719140160385,-4.672419156537513,0.44738849094415095,1.1183751010773242,0.7455529547774646,73537092203.13306,198.62960287752622,candidate,HSC-SSP-simulated
HSC-0087,HSC-SSP,51.66757705179199,2.6404384385528914,0.1575251274970841,1.287231298791189,1.7560004364617472,122551140032.6975,167.08072985764738,candidate,HSC-SSP-simulated
HSC-0088,HSC-SSP,57.25351684000885,1.0007015371934456,0.16324793503220617,1.4943574532550088,0.98346286362301,128964329928.53699,229.02654209027156,candidate,HSC-SSP-simulated
HSC-0089,HSC-SSP,48.343627063039435,-5.7826777941499135,0.2717882056295519,1.6668751016144945,0.7888789936457297,117006551835.55301,243.57341785679978,candidate,HSC-SSP-simulated
HSC-0090,HSC-SSP,47.288650805004394,1.2805805565942707,0.7028336017567657,1.247819110055509,0.7431321083661006,84851276758.24745,213.7106539950176,candidate,HSC-SSP-simulated
HSC-0091,HSC-SSP,59.54523596887004,4.066777037351208,0.26094709080409717,2.018912044857494,0.9537035790745578,94092836392.1814,198.655946502629,candidate,HSC-SSP-simulated
HSC-0092,HSC-SSP,54.085603457940344,-5.944415723944766,0.10076311303494313,0.2573087250866576,0.6790990607646545,40917992678.554146,155.2460613968192,candidate,HSC-SSP-simulated
HSC-0093,HSC-SSP,52.125037443292456,-0.5733847093223137,0.20302445546360134,0.3939390626169646,0.445273760923768,52556644685.32687,217.28525667410938,candidate,HSC-SSP-simulated
HSC-0094,HSC-SSP,57.445377032043,-1.6512732106004027,0.8,2.5925620190237524,0.9225011954694523,62539651617.52721,164.6737045629165,candidate,HSC-SSP-simulated
HSC-0095,HSC-SSP,32.56049004235932,5.962491022151369,0.8,1.672146117486297,1.0612266204816674,120120694207.31218,212.78197940380286,candidate,HSC-SSP-simulated
HSC-0096,HSC-SSP,36.15418921446022,-3.711747352036001,0.24371084412613397,0.7731814370401762,0.9263592457230347,201813922673.5808,295.1996494291344,candidate,HSC-SSP-simulated
HSC-0097,HSC-SSP,45.7317080798274,-0.7108470367412618,0.5772659654401632,0.6772659654401632,0.6555678263653173,53757430179.11459,181.10916562045622,candidate,HSC-SSP-simulated
HSC-0098,HSC-SSP,49.31998629717047,-1.0951899468228437,0.47849323766323704,2.431578107022474,1.2417250959695825,83033399058.43794,163.54741143913856,candidate,HSC-SSP-simulated
HSC-0099,HSC-SSP,30.591316132630926,-4.750697016185114,0.16156216505955745,1.3523811445419298,0.9304400623329594,94219079523.6174,201.25895962252014,candidate,HSC-SSP-simulated
HSC-0100,HSC-SSP,51.66800795566978,4.268357617275429,0.18641163488640675,2.0144480413348727,1.1947421372738336,124938742729.17525,204.5226780343005,candidate,HSC-SSP-simulated
HSC-0101,HSC-SSP,30.390057705322082,-4.973897629746383,0.31862280072502386,0.5771553412356396,0.8548605641966912,158639154582.66998,272.4504612918445,candidate,HSC-SSP-simulated
HSC-0102,HSC-SSP,37.782703002938774,-1.4436911019927976,0.05348327740500333,1.3423947906181581,0.535486916143337,124389528370.61336,304.8228184145019,candidate,HSC-SSP-simulated
HSC-0103,HSC-SSP,38.83397278625753,5.38143968354588,0.15862740868061437,1.277065707488665,1.0348622174289706,133919230703.32198,227.5150880730939,candidate,HSC-SSP-simulated
HSC-0104,HSC-SSP,42.756405134077,-5.730368300158592,0.31446814480867274,0.45959238405890035,1.052596144860445,116935514250.99736,210.80083318236603,candidate,HSC-SSP-simulated
HSC-0105,HSC-SSP,59.532065421106566,0.3082821876322299,0.1593663001089924,0.5845029337608949,1.0605138730286,77600006282.91472,171.0813611192484,candidate,HSC-SSP-simulated
HSC-0106,HSC-SSP,38.22165662061618,0.6501360301895209,0.506943991747402,1.684076523574951,1.0798357219860488,195540447003.34863,269.1345491972757,candidate,HSC-SSP-simulated
HSC-0107,HSC-SSP,48.0155058130096,1.9804400945550658,0.05,0.30020362055850897,1.168005631799709,98551632432.71465,183.71280934232672,candidate,HSC-SSP-simulated
HSC-0108,HSC-SSP,32.483960037753796,1.2378253135966588,0.14929370775632103,0.3644882873049733,0.7461997330857104,138710176887.7922,272.682089830392,candidate,HSC-SSP-simulated
HSC-0109,HSC-SSP,46.99213920890692,-0.287395173610804,0.3582153631963039,1.3166445488823662,0.8413972738300355,107533583607.0844,226.10049073226807,candidate,HSC-SSP-simulated
HSC-0110,HSC-SSP,44.89098741603709,1.16211418700267,0.5451296865594984,1.0019866968231916,0.989558349359449,235507344763.24704,308.5400317817755,candidate,HSC-SSP-simulated
HSC-0111,HSC-SSP,50.65207189283208,-0.7820719367550453,0.4136268328725727,0.9340650296305744,1.2050764255991573,60311274322.25355,141.48876400547718,candidate,HSC-SSP-simulated
HSC-0112,HSC-SSP,40.829216908200806,-4.90101512008039,0.23586127057562345,1.5374721601440333,1.120818649439029,175870242749.9922,250.52928726419117,candidate,HSC-SSP-simulated
HSC-0113,HSC-SSP,54.19683443584349,1.9054004005286078,0.448755265706203,1.6150178952875818,1.1375598271308756,150945556562.633,230.38438435815556,candidate,HSC-SSP-simulated
HSC-0114,HSC-SSP,35.417260353820005,0.815342766631554,0.09365160085969831,1.808402783092234,0.9882035836283095,159481540065.06705,254.07503486863123,candidate,HSC-SSP-simulated
HSC-0115,HSC-SSP,55.86127952967941,4.134592782420844,0.4792714259059604,1.021911753142998,0.8777891447519363,91810560052.43011,204.54139382656803,candidate,HSC-SSP-simulated
HSC-0116,HSC-SSP,32.308596048876275,2.355465310537678,0.5805438590317896,0.9595274927773663,1.5435629766188423,203830537799.90518,229.82773882557873,candidate,HSC-SSP-simulated
HSC-0117,HSC-SSP,39.562575087962095,1.5106965172441091,0.3053618101067857,1.8549562769674366,1.0249923988252465,191362722282.33087,273.27401875326757,candidate,HSC-SSP-simulated
HSC-0118,HSC-SSP,58.17203095538689,3.585398829283985,0.16261122525607072,2.2768724588541356,0.8748955629118823,187348549202.23758,292.66922385588504,candidate,HSC-SSP-simulated
HSC-0119,HSC-SSP,42.6407100683121,2.8509876190666983,0.1771397711980977,0.8414947353493545,0.7398985253992754,61008770044.139694,181.6101217447936,candidate,HSC-SSP-simulated
HSC-0120,HSC-SSP,31.262795689090858,-5.785512783199034,0.24334327294399793,1.2371886225015645,1.343524949657525,147138564931.16293,209.30055778872455,candidate,HSC-SSP-simulated
HSC-0121,HSC-SSP,58.34196066874231,-0.39118186500156327,0.33160584189667114,1.2770674897109486,1.159206105728944,58026412567.82886,141.50198311713285,candidate,HSC-SSP-simulated
HSC-0122,HSC-SSP,35.29584096016525,-3.3541654911578958,0.2645981335968898,0.7504958109165377,1.428614308348571,144767858162.50717,201.33003658117153,candidate,HSC-SSP-simulated
HSC-0123,HSC-SSP,52.74715427112274,2.3522474166455076,0.08464692626398777,0.6099312633748212,1.2091039466643185,345064175319.6602,337.8688182516354,candidate,HSC-SSP-simulated
HSC-0124,HSC-SSP,47.402586235134336,-4.9021579512269415,0.47913830228811183,0.9762024722415028,0.890198802165123,135967759820.78633,247.1749551394671,candidate,HSC-SSP-simulated
HSC-0125,HSC-SSP,46.52572111827418,-4.956158881063079,0.524026075214235,0.7464572901076513,0.8030976130338591,63580887591.309364,177.95456009760724,candidate,HSC-SSP-simulated
HSC-0126,HSC-SSP,36.60549605849434,2.199105163915151,0.24840038164123135,1.071177669525114,1.4283472148765257,280519056349.0786,280.28140389764184,candidate,HSC-SSP-simulated
HSC-0127,HSC-SSP,40.43427623706579,2.1361938307087627,0.3225087595435869,1.5924508163440383,0.8978182483279443,159591981202.9181,266.6498321325284,candidate,HSC-SSP-simulated
HSC-0128,HSC-SSP,56.01882602879407,2.5003557205804174,0.34087251963988835,2.0697830474049153,1.4201871761743117,124874978866.88434,187.54043375481604,candidate,HSC-SSP-simulated
HSC-0129,HSC-SSP,56.426122775967855,4.4621223329427835,0.3550850350083373,1.0851319032371094,1.0449970954403542,89918806478.94633,185.5229839459817,candidate,HSC-SSP-simulated
HSC-0130,HSC-SSP,54.53901072357186,3.9856101354929034,0.3586185691122793,1.3214924014802407,1.0140284525069196,168306825740.16797,257.6652134538825,candidate,HSC-SSP-simulated
HSC-0131,HSC-SSP,46.19956139147567,3.3581447418137227,0.06909044403553088,1.0739881007272474,1.6051801349998838,315625350502.84454,280.4490972053233,candidate,HSC-SSP-simulated
HSC-0132,HSC-SSP,57.960843165300524,-4.769883264111849,0.061861450679055366,0.6389639876966223,1.0599555760611632,107967829741.69237,201.85213605156463,candidate,HSC-SSP-simulated
HSC-0133,HSC-SSP,47.4651138052882,-1.8494033165645192,0.28536661356372955,0.8074784698346082,1.1198150777456948,127547168894.62273,213.4480796500502,candidate,HSC-SSP-simulated
HSC-0134,HSC-SSP,53.112222534233794,2.199544519278062,0.05,0.25455056252727304,0.517036510530258,82366271358.89008,252.43181673604806,candidate,HSC-SSP-simulated
HSC-0135,HSC-SSP,36.62308838366281,-5.011427452609888,0.4940720333012406,0.744065171932931,1.2991850697557388,141710519609.80313,208.87936107722172,candidate,HSC-SSP-simulated
HSC-0136,HSC-SSP,58.30847760502797,-0.9632721968865319,0.08717510681232549,0.5489217046479647,0.9301859027725647,131284290120.07074,237.60276982571483,candidate,HSC-SSP-simulated
HSC-0137,HSC-SSP,36.3931411207525,-5.626391005385864,0.07752197619151356,2.233379631434296,1.108289243018573,163389900680.65546,242.8376609576892,candidate,HSC-SSP-simulated
HSC-0138,HSC-SSP,53.127655339321564,4.137398737402652,0.39625990178218956,2.415681234994477,1.0607289398771766,173044133054.2166,255.4501878794256,candidate,HSC-SSP-simulated
HSC-0139,HSC-SSP,53.89611872928529,-0.22173178184939957,0.14056084366250027,2.760748265753021,1.0391793597174426,89827811980.70685,185.94741712625597,candidate,HSC-SSP-simulated
HSC-0140,HSC-SSP,38.06980213305293,3.5707092076462583,0.1731686860598303,0.28509721230336726,0.873111600424742,21827790010.61855,100.0,candidate,HSC-SSP-simulated
HSC-0141,HSC-SSP,48.00061644357911,-2.500049055488361,0.4351316839509277,1.57437043121945,0.7481940998148269,88578776351.47482,217.614432192901,candidate,HSC-SSP-simulated
HSC-0142,HSC-SSP,37.26135047587582,5.839951119205757,0.24930302001810273,0.5362544240904406,0.9358601255852356,114627179382.85219,221.34429194972654,candidate,HSC-SSP-simulated
HSC-0143,HSC-SSP,39.79383924731975,0.2125397206165367,0.2051241511967419,0.671205699236952,0.7404582683034137,78513265157.31168,205.94498535570224,candidate,HSC-SSP-simulated
HSC-0144,HSC-SSP,47.02622544784674,2.2735796296471893,0.15490203693993146,1.4151705608408438,1.5216672838501941,269636816464.18915,266.23168414563844,candidate,HSC-SSP-simulated
HSC-0145,HSC-SSP,30.94758434476926,5.234546954924278,0.2617260729750543,0.7433341501707416,1.3080767988236146,207272576949.33484,251.75859008409847,candidate,HSC-SSP-simulated
HSC-0146,HSC-SSP,40.18350577628418,3.777901364958147,0.6017276034511271,1.569229206370243,1.683355530469216,222421593409.54483,229.8955391731324,candidate,HSC-SSP-simulated
