ell,Cl,err_Cl,binned
1334.709969665987,2.4607276310244508e+20,2.2464919895131748e+18,True
1364.7086456581876,2.3597292912078425e+20,2.154284764971068e+18,True
1394.7073786865628,2.2634632372139583e+20,2.0663980806975268e+18,True
1424.7061651432964,2.1716634947930604e+20,1.9825890895958769e+18,True
1454.7050017185695,2.084082666239587e+20,1.9026319072697303e+18,True
1484.7038853704187,2.0004903140108917e+20,1.8263161359126203e+18,True
1514.7028132981723,1.9206715151587063e+20,1.753445544205153e+18,True
1544.7017829189945,1.8444255653723878e+20,1.6838368838539105e+18,True
1574.7007918471122,1.7715648144367236e+20,1.6173188261504445e+18,True
1604.6998378753694,1.701913617435273e+20,1.5537310042382533e+18,True
1634.6989189588182,1.6353073881656066e+20,1.492923148726372e+18,True
1664.6980332000892,1.571591743042623e+20,1.4347543059414505e+18,True
1694.697178836314,1.5106217253050715e+20,1.3790921295159598e+18,True
1724.6963542274118,1.4522611006530339e+20,1.325812237209211e+18,True
1754.6955578455863,1.3963817165672438e+20,1.274797625883762e+18,True
1784.6947882658737,1.3428629185248113e+20,1.2259381384400282e+18,True
1814.694044157638,1.2915910171552001e+20,1.179129977269393e+18,True
1844.6933242768905,1.2424588010958363e+20,1.1342752594396493e+18,True
1874.6926274593511,1.1953650909257286e+20,1.0912816093920076e+18,True
1904.691952614164,1.1502143300923923e+20,1.0500617854192612e+18,True
1934.6912987181997,1.1069162092141217e+20,1.0105333366210415e+18,True
1964.6906648108811,1.065385320546496e+20,9.726182874036424e+17,True
1994.6900499894716,1.0255408397573243e+20,9.362428469164366e+17,True
2024.6894534047897,9.873062324653667e+19,9.013371411010493e+17,True
2054.688874257292,9.506089832710744e+19,8.678349652787054e+17,True
2084.688311793502,9.153803452475836e+19,8.356735554203421e+17,True
2114.687765302738,8.815551080715782e+19,8.047933764371299e+17,True
2144.687234114116,8.49071383160252e+19,7.751379259994728e+17,True
2174.686717593805,8.178704043456337e+19,7.466535525432681e+17,True
2204.686215142501,7.878963427637463e+19,7.192892862557471e+17,True
2234.6857261931113,7.590961347658858e+19,6.92996681951743e+17,True
2264.685250208614,7.31419321774694e+19,6.677296728566327e+17,True
2294.6847866800963,7.0481790111051e+19,6.43444434406073e+17,True
2324.684335124934,6.7924618690519376e+19,6.200992572564035e+17,True
2354.683895085121,6.546606803025711e+19,5.976544287744334e+17,True
2384.6834661257144,6.310199482180034e+19,5.760721223423162e+17,True
2414.683047833406,6.082845099953481e+19,5.553162938732604e+17,True
2444.6826398151848,5.864167313585939e+19,5.353525849877372e+17,True
2474.6822416971177,5.653807251085386e+19,5.1614823234829805e+17,True
2499.072854438603,5.488479000122789e+19,6.295856429716251e+17,True
